Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200604   ,0.98   ,2.00   ,3.15   ,1.16   ,1.41   ,1.84
200605  ,-5.77  ,-3.97  ,-4.56  ,-2.90  ,-2.60  ,-2.67
200606  ,-1.26  ,-0.26  ,-0.03  ,-0.68  ,-0.68   ,0.99
200607  ,-3.30  ,-2.15  ,-2.56  ,-1.42   ,0.35   ,0.42
200608   ,3.76   ,2.14   ,1.90   ,3.19   ,3.09   ,1.42
200609  ,-0.54   ,0.43  ,-0.39   ,1.83   ,2.85   ,1.04
200610   ,5.34   ,5.39   ,6.53   ,3.66   ,2.94   ,3.85
200611   ,2.44   ,1.68   ,2.04   ,2.62   ,1.79   ,2.29
200612   ,0.54   ,1.11  ,-0.29   ,1.49   ,1.89  ,-0.09
200701   ,1.30   ,1.58   ,1.96   ,1.85   ,1.42   ,1.77
200702   ,0.01   ,0.21   ,0.04  ,-0.84  ,-1.92  ,-1.53
200703   ,0.79   ,2.01   ,1.72   ,1.10   ,0.88   ,2.00
200704   ,2.40   ,2.66   ,4.78   ,4.12   ,4.24   ,4.84
200705   ,3.52   ,4.28   ,5.44   ,3.31   ,4.08   ,4.49
200706  ,-0.95  ,-0.80  ,-0.31  ,-1.67  ,-1.76  ,-0.80
200707  ,-5.47  ,-5.34  ,-6.09  ,-4.19  ,-2.83  ,-1.65
200708  ,-0.21   ,1.79  ,-2.18   ,1.09   ,2.02   ,0.46
200709   ,3.69   ,1.54   ,2.01   ,3.93   ,3.97   ,4.86
200710   ,3.47   ,2.72   ,2.26   ,1.45   ,3.06   ,2.79
200711  ,-9.67  ,-6.63  ,-8.30  ,-6.30  ,-4.44  ,-4.08
200712   ,0.45  ,-0.39   ,0.71  ,-1.61  ,-1.15   ,1.52
200801  ,-7.64  ,-5.90  ,-6.84  ,-4.99  ,-6.08  ,-6.69
200802  ,-1.66  ,-2.11  ,-1.14  ,-3.13  ,-3.52   ,0.11
200803  ,-2.16   ,0.49  ,-1.17  ,-1.42  ,-1.60  ,-0.20
200804   ,1.76   ,4.30   ,5.27   ,4.83   ,4.19   ,6.09
200805   ,4.84   ,4.35   ,7.21   ,1.78   ,1.92   ,3.20
200806  ,-8.07  ,-7.34  ,-3.93 ,-10.70  ,-9.50  ,-4.31
200807   ,1.11   ,1.46   ,0.31   ,1.32  ,-1.31  ,-3.77
200808   ,2.26   ,3.83   ,4.05  ,-0.84   ,1.35   ,1.40
200809 ,-10.67  ,-8.55 ,-12.29  ,-8.48 ,-10.40  ,-9.66
200810 ,-22.68 ,-20.24 ,-22.73 ,-21.77 ,-16.71 ,-16.92
200811 ,-11.88 ,-12.06 ,-14.14 ,-12.20  ,-6.82  ,-4.75
200812   ,5.71   ,4.82   ,5.95   ,1.45   ,0.67   ,1.37
200901  ,-8.85 ,-10.20  ,-9.64  ,-9.80  ,-8.33  ,-4.98
200902 ,-11.70 ,-10.64 ,-11.41 ,-10.90 ,-10.22  ,-8.78
200903   ,9.60   ,8.59  ,10.15  ,12.30   ,7.93   ,8.05
200904  ,14.74  ,17.25  ,20.49  ,11.76  ,10.00   ,8.71
200905   ,6.32   ,3.69   ,5.96   ,8.99   ,6.45   ,6.10
200906   ,1.67   ,0.91  ,-0.43  ,-0.82  ,-0.72   ,0.38
200907  ,10.01  ,10.03  ,11.95   ,9.25   ,8.95   ,6.01
200908   ,3.51   ,3.80   ,3.93   ,5.69   ,2.61   ,1.37
200909   ,6.91   ,7.32   ,9.45   ,3.72   ,4.69   ,4.15
200910  ,-7.84  ,-4.26  ,-5.62  ,-5.70  ,-2.18  ,-0.17
200911   ,3.92   ,3.48   ,3.73   ,4.65   ,6.77   ,5.81
200912   ,7.51   ,7.58   ,9.46   ,2.10   ,3.08   ,1.93
201001  ,-2.84  ,-3.39  ,-3.18  ,-2.24  ,-3.74  ,-4.73
201002   ,5.04   ,4.92   ,5.77   ,4.42   ,3.32   ,3.22
201003   ,8.01   ,7.62   ,8.16   ,7.18   ,6.61   ,4.61
201004   ,6.03   ,4.78   ,7.15   ,1.36   ,0.84   ,2.21
201005  ,-8.55  ,-7.16  ,-7.29  ,-7.73  ,-7.44  ,-8.33
201006  ,-7.27  ,-7.01  ,-8.12  ,-5.46  ,-5.37  ,-4.89
201007   ,7.12   ,7.33   ,6.63   ,5.77   ,7.69   ,6.79
201008  ,-6.46  ,-5.72  ,-7.21  ,-5.59  ,-4.06  ,-3.49
201009  ,13.48  ,11.40  ,12.60   ,8.58   ,9.56   ,9.06
201010   ,4.42   ,4.55   ,4.36   ,2.54   ,3.96   ,4.31
201011   ,4.71   ,3.24   ,4.86   ,0.79   ,0.12   ,0.37
201012  ,10.21   ,6.97   ,6.81   ,8.90   ,7.08   ,5.09
201101   ,0.10   ,0.28   ,0.55   ,2.06   ,2.73   ,1.86
201102   ,6.40   ,5.98   ,4.09   ,4.62   ,4.25   ,3.02
