Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200507   ,2.20   ,2.06   ,1.79   ,0.63   ,1.16   ,0.31
200508   ,4.21   ,3.48   ,2.21   ,7.20   ,8.07   ,6.34
200509   ,2.74   ,3.87   ,1.19   ,9.73  ,10.02   ,5.67
200510   ,2.27   ,1.31   ,2.83   ,0.06  ,-0.19  ,-1.20
200511   ,2.00   ,2.55   ,3.25   ,3.21   ,2.16   ,5.58
200512  ,11.52  ,11.21  ,15.94   ,8.60   ,7.82  ,13.08
200601   ,3.10   ,5.58   ,3.31   ,4.53   ,4.33   ,2.33
200602  ,-6.72  ,-5.94  ,-6.23  ,-2.03  ,-0.95  ,-2.70
200603   ,2.26   ,3.28   ,3.53   ,2.27   ,3.02   ,3.99
200604   ,1.41   ,2.08   ,0.63   ,1.87   ,3.37   ,2.29
200605  ,-9.42  ,-7.73  ,-9.09  ,-4.93  ,-7.24  ,-8.10
200606  ,-3.38  ,-3.41  ,-2.53  ,-1.07  ,-1.26  ,-1.47
200607  ,-6.43  ,-4.49  ,-9.86  ,-0.76  ,-0.73  ,-2.48
200608   ,1.79   ,1.36   ,3.32   ,2.40   ,0.02   ,3.12
200609  ,-2.60  ,-2.14  ,-3.39  ,-1.59  ,-1.51  ,-1.13
200610  ,-0.63  ,-0.58  ,-0.90   ,1.53   ,1.25   ,2.94
200611  ,-2.30  ,-0.23  ,-2.79   ,0.94  ,-0.32   ,0.01
200612   ,0.05   ,0.64  ,-1.18   ,0.81   ,1.79   ,3.70
200701   ,2.06   ,0.69   ,1.47   ,1.04   ,1.05   ,0.42
200702   ,3.89   ,4.05   ,0.73   ,5.33   ,3.38   ,3.04
200703  ,-0.52   ,0.06  ,-1.84  ,-0.44  ,-1.00  ,-2.45
200704  ,-3.07  ,-1.85  ,-4.70  ,-3.33  ,-0.79  ,-2.59
200705  ,-2.54  ,-2.51  ,-2.33  ,-0.12   ,1.41   ,1.62
200706   ,2.16   ,2.84   ,2.21  ,-1.69  ,-0.03   ,1.01
200707   ,1.22   ,1.16  ,-0.78  ,-0.80  ,-0.21   ,0.50
200708  ,-5.20  ,-4.49  ,-8.30  ,-0.45  ,-3.93  ,-4.35
200709  ,-1.07   ,0.16  ,-1.42   ,1.10   ,1.53   ,3.24
200710   ,0.04   ,0.04   ,7.32   ,1.42  ,-1.51   ,0.80
200711  ,-1.73  ,-3.51  ,-5.18   ,0.35  ,-2.08  ,-3.27
200712  ,-4.98  ,-4.38  ,-6.45  ,-3.17  ,-3.99  ,-3.95
200801  ,-2.15  ,-4.75  ,-6.98  ,-4.47  ,-4.73  ,-4.57
200802   ,1.90   ,2.55   ,3.67   ,0.18   ,1.08   ,1.43
200803   ,0.94  ,-0.08  ,-2.75  ,-1.01  ,-4.36  ,-6.03
200804   ,0.35   ,0.48   ,0.50   ,4.57   ,9.21   ,7.25
200805   ,4.17   ,3.86   ,2.68   ,1.14   ,3.17   ,1.55
200806  ,-3.07  ,-3.38  ,-7.63  ,-4.44  ,-7.45  ,-7.91
200807  ,-1.85  ,-3.08  ,-6.71   ,0.95  ,-2.68  ,-5.72
200808  ,-4.77  ,-5.50  ,-9.17  ,-4.54  ,-3.71  ,-3.94
200809  ,-7.77  ,-7.34 ,-10.88  ,-6.38 ,-11.35 ,-13.28
200810  ,-5.28  ,-5.78 ,-15.18 ,-10.59 ,-15.41 ,-15.76
200811   ,4.25   ,3.80   ,3.71   ,1.85   ,1.91  ,-4.40
200812   ,9.60   ,8.81   ,9.73  ,10.57   ,6.99   ,7.30
200901  ,-3.24  ,-4.68  ,-3.16  ,-6.13  ,-9.16  ,-5.57
200902 ,-12.41 ,-12.45 ,-14.76 ,-12.61 ,-14.59  ,-8.76
200903   ,1.71   ,2.10   ,3.53  ,-3.43   ,4.64   ,3.18
200904   ,3.06   ,2.35   ,6.04   ,3.90   ,9.73  ,12.49
200905  ,10.07  ,11.24  ,17.56   ,8.81  ,12.76  ,10.49
200906   ,6.47   ,6.98   ,9.58   ,1.84   ,4.43   ,1.07
200907   ,1.03   ,3.58   ,3.56   ,5.29   ,3.57   ,4.44
200908   ,5.55   ,6.02   ,7.42   ,2.51   ,4.07   ,2.19
200909  ,-1.25   ,0.62   ,1.67  ,-1.91  ,-0.57  ,-0.85
200910  ,-3.35  ,-2.46  ,-2.26  ,-2.19  ,-3.49  ,-0.34
200911  ,-5.76  ,-4.46  ,-6.43  ,-3.32  ,-0.17  ,-2.26
200912  ,-1.09  ,-2.02  ,-2.00   ,3.70  ,-2.10   ,1.78
201001   ,3.15   ,2.90   ,2.59   ,0.95   ,2.50   ,2.93
201002   ,1.68   ,1.25   ,1.15  ,-0.00   ,0.86   ,0.83
201003   ,5.36   ,4.68   ,4.88   ,5.06   ,4.36   ,5.26
201004   ,5.72   ,3.47   ,6.28   ,0.94   ,0.00  ,-0.54
201005  ,-7.42  ,-6.47  ,-7.44  ,-9.37  ,-6.63  ,-8.88
201006   ,0.09   ,1.29   ,0.34  ,-1.41  ,-0.02  ,-1.34
201007   ,1.86   ,1.04   ,1.74   ,3.39   ,3.37   ,2.50
201008  ,-6.03  ,-2.33  ,-1.68  ,-4.59  ,-2.44  ,-0.55
201009   ,5.05   ,3.84   ,2.99   ,8.33   ,4.20   ,1.88
201010  ,-2.38  ,-2.81  ,-1.47   ,1.88   ,1.26   ,1.70
201011   ,5.98   ,1.88   ,1.31   ,3.88   ,1.73   ,0.18
201012  ,12.24  ,10.53   ,9.19   ,6.72   ,7.60   ,7.20
201101   ,2.93   ,2.47   ,1.61   ,1.95  ,-0.13  ,-1.01
201102   ,5.88   ,4.03   ,4.63   ,4.55   ,4.64   ,5.30
201103  ,-6.99  ,-4.39  ,-5.83  ,-8.90  ,-9.18  ,-8.76
201104  ,-1.06  ,-0.98   ,0.26   ,1.17   ,0.40   ,1.38
201105  ,-1.28  ,-2.89  ,-1.30  ,-0.83  ,-2.63  ,-0.89
201106   ,5.22   ,4.35   ,3.67   ,2.04   ,1.67   ,3.44
201107   ,3.50   ,4.97   ,5.05   ,3.94   ,4.27   ,3.26
201108  ,-3.56  ,-2.59  ,-3.41  ,-9.37  ,-7.52  ,-7.40
201109  ,-1.79   ,0.71  ,-0.89  ,-2.15   ,0.46  ,-0.47
201110  ,-2.48  ,-4.68  ,-3.08   ,0.03  ,-0.85  ,-2.01
201111  ,-1.36  ,-1.49  ,-2.74  ,-3.15  ,-3.74  ,-5.82
201112   ,2.51   ,2.35   ,2.35   ,0.31   ,1.76   ,0.62
201201   ,8.58   ,6.88   ,4.69   ,4.40   ,4.16   ,3.06
201202   ,1.11  ,-0.17   ,1.47   ,4.06   ,3.52   ,4.46
201203   ,2.86   ,2.22   ,2.88   ,1.52   ,1.16   ,1.24
201204   ,0.50   ,0.56   ,2.25  ,-3.05  ,-1.60  ,-1.94
201205  ,-9.57  ,-7.39  ,-7.03  ,-9.17  ,-7.61  ,-9.49
201206   ,5.47   ,3.49   ,3.28   ,4.29   ,4.92   ,4.96
201207  ,-2.46  ,-1.70  ,-1.31  ,-2.29  ,-2.44  ,-0.18
201208  ,-0.91  ,-0.88  ,-1.08   ,0.05  ,-1.26  ,-0.50
201209   ,1.26   ,2.25   ,2.56   ,2.52   ,1.81   ,2.71
201210  ,-0.72  ,-2.99  ,-1.31  ,-0.78  ,-2.67  ,-2.12
201211   ,1.68   ,1.30   ,0.82   ,2.32   ,1.66   ,1.42
201212   ,4.83   ,2.55   ,1.62   ,4.77   ,4.15   ,2.67
201301   ,5.34   ,4.07   ,5.91   ,4.41   ,3.16   ,3.37
201302   ,2.14   ,2.28   ,4.36   ,3.68   ,2.94   ,1.71
201303   ,9.16   ,6.11  ,11.43   ,4.71   ,5.53   ,5.24
201304  ,11.42   ,5.57  ,12.97  ,10.01   ,7.99   ,8.80
201305  ,-8.34  ,-6.42  ,-3.17  ,-4.65  ,-5.62  ,-5.24
201306  ,-4.78  ,-2.41  ,-6.17   ,1.49   ,2.38  ,-0.03
201307   ,4.68   ,2.86   ,4.75   ,1.01   ,0.52   ,2.29
201308  ,-3.01  ,-1.91  ,-1.99  ,-2.71  ,-2.45  ,-2.70
201309  ,12.67   ,9.69  ,11.42   ,9.28   ,7.69   ,9.27
201310  ,-0.53  ,-0.41   ,0.59  ,-0.43   ,0.32  ,-1.07
201311  ,-0.45  ,-1.22  ,-1.43   ,1.43   ,1.18   ,1.72
201312   ,1.66   ,0.68   ,1.18   ,0.41   ,0.59   ,1.42
201401   ,2.35   ,2.10   ,2.67  ,-3.00  ,-3.97  ,-2.18
201402  ,-2.57  ,-1.96  ,-3.31   ,0.60  ,-0.67  ,-0.47
201403  ,-0.34   ,1.12   ,0.30  ,-1.85  ,-1.01  ,-1.55
201404  ,-3.01  ,-1.42  ,-1.80  ,-2.02  ,-2.42  ,-2.60
201405   ,3.68   ,1.38   ,2.81   ,5.50   ,3.57   ,3.32
201406   ,8.48   ,7.23   ,8.79   ,5.99   ,5.41   ,5.14
201407   ,1.87   ,0.60   ,0.34   ,1.34   ,0.44   ,0.66
201408   ,1.48   ,0.35  ,-0.18  ,-2.15  ,-1.84  ,-2.84
201409  ,-2.45  ,-1.06  ,-3.97  ,-1.66  ,-1.13   ,0.02
201410  ,-4.88  ,-3.72  ,-5.10  ,-1.36  ,-1.52  ,-2.39
201411  ,-1.16  ,-2.47  ,-0.76  ,-1.40  ,-0.23   ,1.34
201412   ,0.51   ,2.24   ,0.39  ,-0.19  ,-1.83  ,-0.84
201501   ,2.70   ,2.88   ,2.00   ,4.53   ,1.78   ,2.83
201502   ,2.33   ,1.85   ,1.30   ,4.45   ,6.81   ,5.56
201503   ,0.23   ,1.84   ,4.01   ,1.02   ,2.40   ,1.89
201504   ,3.17   ,3.17   ,2.26   ,3.81   ,4.29   ,2.67
201505  ,-0.55   ,0.29  ,-0.88   ,0.96   ,1.17   ,0.89
201506   ,1.87   ,1.89   ,3.84  ,-0.08  ,-0.82  ,-1.75
201507   ,0.14  ,-0.72   ,0.89   ,3.77   ,0.01   ,0.18
201508  ,-2.53  ,-2.25  ,-4.89  ,-3.64  ,-5.78  ,-6.60
201509  ,-3.44  ,-3.45  ,-3.74  ,-6.77  ,-6.39  ,-6.44
201510   ,4.66   ,5.31   ,4.98   ,8.39   ,9.43  ,10.99
201511   ,0.93   ,2.10   ,2.51  ,-2.44  ,-0.21   ,0.86
201512   ,1.30   ,0.87   ,0.75   ,1.48   ,0.19  ,-0.14
201601  ,-6.26  ,-7.60  ,-7.47  ,-5.65  ,-8.59  ,-8.05
201602   ,0.06  ,-0.65  ,-0.75  ,-0.45  ,-2.65  ,-2.67
201603   ,6.58   ,7.51  ,10.05   ,2.92   ,6.06   ,4.74
201604   ,4.82   ,3.94   ,4.94   ,5.43   ,4.43   ,5.87
201605  ,-1.92   ,0.18   ,0.55  ,-1.19  ,-0.98  ,-1.11
201606  ,-0.41  ,-0.72  ,-0.87  ,-1.38  ,-3.51  ,-2.69
201607   ,6.27   ,7.82   ,4.88   ,5.34   ,6.32   ,8.82
201608  ,-2.21  ,-3.31  ,-3.28  ,-3.36  ,-1.41   ,1.16
201609   ,5.59   ,5.79   ,6.92   ,4.01   ,3.10   ,0.34
201610   ,2.26   ,2.54   ,2.14   ,0.91   ,1.05   ,2.85
201611  ,-4.22  ,-3.99  ,-5.29  ,-4.03  ,-2.81  ,-3.99
201612   ,1.45   ,2.19   ,2.21   ,0.91   ,1.01   ,1.85
201701   ,5.85   ,5.09   ,5.92   ,3.24   ,3.82   ,3.99
201702   ,4.01   ,3.41   ,3.46   ,1.28   ,0.78   ,0.65
201703   ,1.31   ,1.89   ,2.26   ,1.55   ,0.50   ,0.60
201704  ,-0.10   ,0.37   ,0.08   ,1.99   ,1.49   ,0.92
201705   ,4.10   ,3.62   ,6.02   ,3.28   ,1.83   ,2.93
201706   ,2.51   ,2.83   ,2.67   ,1.45   ,1.76   ,0.56
201707   ,4.75   ,3.88   ,3.59   ,3.21   ,2.14   ,1.33
201708   ,2.54   ,2.98   ,2.02   ,0.41  ,-0.35   ,0.65
201709   ,2.25   ,2.32   ,1.27   ,2.81   ,1.52   ,1.08
201710   ,3.09   ,3.01   ,3.11   ,4.81   ,4.32   ,3.95
201711   ,1.92   ,1.68   ,4.16   ,1.63   ,2.27   ,4.33
201712   ,3.44   ,3.06   ,3.18   ,2.92   ,0.27   ,0.72
