Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200601   ,8.65   ,8.27  ,10.40   ,3.37   ,2.78   ,3.88
200602   ,1.17  ,-0.57  ,-1.90   ,0.53  ,-0.08  ,-0.90
200603   ,3.94   ,4.53   ,4.65   ,1.31   ,1.37   ,1.68
200604   ,0.86   ,1.77   ,2.00   ,1.53   ,1.34   ,1.71
200605  ,-5.23  ,-3.95  ,-5.82  ,-1.94  ,-1.96  ,-4.66
200606  ,-0.91  ,-0.08  ,-1.42   ,0.04  ,-0.41   ,0.49
200607  ,-2.78  ,-2.60  ,-3.41  ,-0.26   ,0.34  ,-0.55
200608   ,3.45   ,3.09   ,2.39   ,3.95   ,2.08   ,1.01
200609  ,-0.02   ,0.55  ,-0.85   ,2.91   ,1.52   ,1.41
200610   ,6.00   ,5.00   ,6.01   ,3.35   ,3.07   ,4.47
200611   ,2.55   ,2.03   ,2.17   ,1.28   ,2.07   ,3.83
200612   ,0.82   ,1.28  ,-0.04   ,2.37   ,1.05  ,-0.80
200701   ,2.85   ,1.07   ,1.13   ,1.71   ,1.31   ,2.30
200702   ,0.14  ,-0.19   ,0.09  ,-2.22  ,-1.23  ,-1.05
200703   ,1.23   ,1.45   ,1.39   ,0.63   ,1.26   ,2.50
200704   ,3.11   ,2.09   ,3.66   ,5.03   ,4.24   ,3.88
200705   ,3.62   ,3.87   ,4.70   ,3.78   ,3.58   ,5.68
200706  ,-0.43  ,-0.94  ,-1.02  ,-1.73  ,-1.29  ,-1.12
200707  ,-6.70  ,-5.97  ,-4.69  ,-3.51  ,-2.94  ,-1.68
200708  ,-0.56   ,1.76  ,-0.99   ,1.26   ,0.89   ,1.73
200709   ,1.34   ,1.12   ,4.64   ,2.52   ,4.16   ,6.22
200710   ,2.78   ,1.94   ,4.18   ,3.08   ,2.20   ,2.63
200711  ,-8.19  ,-7.62  ,-9.66  ,-4.54  ,-4.05  ,-5.87
200712   ,0.27  ,-0.57   ,0.70  ,-1.21  ,-0.40   ,0.63
200801  ,-6.34  ,-5.25  ,-8.83  ,-5.68  ,-4.96  ,-7.95
200802  ,-2.84  ,-2.40  ,-0.91  ,-2.97  ,-1.95  ,-1.59
200803   ,0.33   ,0.07  ,-3.00  ,-1.18  ,-0.85  ,-1.37
200804   ,2.09   ,3.17   ,3.57   ,3.42   ,5.14   ,6.63
200805   ,4.65   ,4.17   ,5.95   ,3.10   ,1.03   ,3.55
200806  ,-7.87  ,-8.90  ,-5.78  ,-8.01  ,-7.99  ,-7.24
200807   ,2.74   ,2.87  ,-1.42  ,-0.35  ,-1.21  ,-3.76
200808   ,3.48   ,3.87   ,2.06   ,2.17   ,0.97  ,-0.59
200809  ,-8.53  ,-8.51 ,-13.55  ,-8.81  ,-8.01 ,-14.16
200810 ,-21.83 ,-19.82 ,-24.55 ,-16.21 ,-17.86 ,-19.82
200811 ,-11.96 ,-11.85 ,-13.23  ,-5.71  ,-6.86  ,-9.61
200812   ,4.58   ,4.86   ,7.04   ,1.25   ,0.69   ,1.62
200901 ,-10.40 ,-10.67  ,-7.30  ,-7.45  ,-8.59  ,-4.55
200902 ,-12.18 ,-11.00 ,-10.73 ,-10.12 ,-10.70  ,-7.19
200903   ,9.21   ,9.40   ,9.70   ,7.26   ,8.73  ,10.59
200904  ,17.39  ,16.18  ,16.11   ,8.91   ,9.23  ,12.17
200905   ,4.93   ,3.54   ,7.62   ,5.55   ,6.14   ,9.50
