Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200406   ,2.22   ,3.66   ,3.92   ,2.03   ,1.51   ,2.17
200407  ,-3.77  ,-2.85  ,-1.97  ,-4.07  ,-2.83  ,-2.74
200408   ,0.21   ,0.54  ,-0.15   ,0.85   ,0.35   ,0.65
200409   ,4.51   ,4.23   ,4.32   ,4.94   ,3.95   ,3.80
200410   ,4.41   ,3.96   ,5.19   ,4.88   ,3.67   ,4.32
200411   ,9.34   ,9.08   ,8.41   ,8.18   ,6.52   ,6.24
200412   ,4.86   ,4.89   ,5.61   ,3.77   ,4.70   ,4.46
200501   ,2.19   ,2.37   ,2.40  ,-1.49  ,-1.57  ,-1.40
200502   ,5.56   ,5.83   ,5.37   ,3.91   ,4.79   ,4.73
200503  ,-2.83  ,-2.02  ,-2.25  ,-1.91  ,-2.79  ,-1.99
200504  ,-0.55  ,-2.65  ,-2.87  ,-3.14  ,-2.95  ,-1.43
200505  ,-1.23  ,-0.28  ,-1.29   ,1.12   ,0.33   ,0.09
200506   ,2.34   ,3.33   ,2.31   ,0.48   ,1.83   ,1.98
200507   ,4.52   ,4.80   ,4.56   ,4.26   ,3.83   ,3.88
200508   ,4.10   ,4.23   ,4.45   ,2.42   ,1.52   ,2.44
200509   ,1.68   ,1.32   ,2.15   ,1.54   ,1.69   ,2.10
200510  ,-4.01  ,-4.18  ,-3.95  ,-2.44  ,-1.75  ,-4.55
200511   ,1.15   ,1.48   ,1.44   ,0.90   ,2.95   ,0.52
200512   ,4.36   ,4.81   ,4.83   ,4.80   ,4.67   ,3.03
200601   ,9.01   ,9.51   ,7.94   ,6.48   ,6.62   ,6.27
200602   ,3.34   ,2.73   ,2.68   ,1.21   ,1.83  ,-0.75
200603   ,5.89   ,5.37   ,4.33   ,5.53   ,3.41   ,4.62
200604   ,7.04   ,7.59   ,7.84   ,4.50   ,5.34   ,5.88
200605  ,-4.71  ,-3.88  ,-3.32  ,-3.52  ,-3.08  ,-2.87
200606  ,-1.58  ,-1.16  ,-1.40   ,0.10   ,0.40   ,0.53
200607  ,-0.03  ,-0.08  ,-0.55   ,1.60   ,1.83   ,1.27
200608   ,2.40   ,3.45   ,3.44   ,3.40   ,4.10   ,2.01
200609   ,1.04   ,0.69   ,1.95   ,1.77   ,2.12  ,-0.23
200610   ,4.55   ,4.81   ,4.20   ,3.75   ,3.69   ,5.18
200611   ,6.17   ,6.26   ,7.00   ,4.81   ,3.00   ,4.31
200612   ,4.58   ,4.17   ,5.42   ,3.97   ,4.07   ,3.03
200701   ,2.58   ,3.63   ,2.59   ,1.21   ,1.73  ,-0.09
200702   ,0.74   ,1.33   ,1.36  ,-1.05  ,-0.48   ,0.39
200703   ,4.87   ,4.35   ,4.86   ,3.09   ,3.79   ,4.97
200704   ,4.99   ,6.74   ,5.96   ,6.12   ,6.60   ,5.39
