Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200709  ,-0.55  ,-0.76  ,-1.03   ,4.08   ,2.05   ,1.01
200710   ,0.41   ,1.44   ,5.77   ,1.43   ,0.36  ,-0.93
200711  ,-2.37  ,-3.65  ,-4.44  ,-3.49  ,-1.79  ,-0.90
200712  ,-4.43  ,-5.07  ,-6.57  ,-5.02  ,-2.24  ,-4.38
200801  ,-2.56  ,-5.13  ,-7.17  ,-2.78  ,-5.27  ,-4.91
200802   ,2.09   ,3.13   ,3.04   ,2.45   ,0.71   ,0.21
200803   ,0.26  ,-0.33  ,-1.76  ,-1.94  ,-5.47  ,-3.10
200804   ,0.04   ,0.01   ,2.08   ,7.38   ,7.51   ,6.39
200805   ,2.93   ,3.87   ,5.04   ,1.01   ,1.57   ,3.06
200806  ,-3.06  ,-5.09  ,-6.17  ,-5.93  ,-7.18  ,-6.49
200807  ,-2.58  ,-3.67  ,-5.82  ,-3.23  ,-2.56  ,-3.00
200808  ,-5.37  ,-5.98  ,-8.41  ,-5.10  ,-4.46  ,-2.81
200809  ,-6.65  ,-8.72 ,-11.54 ,-10.04  ,-9.02 ,-12.83
200810  ,-4.64  ,-9.51 ,-13.05 ,-14.14 ,-16.85 ,-10.91
200811   ,3.55   ,4.21   ,4.60   ,0.16  ,-0.99  ,-0.29
200812  ,10.03   ,7.88   ,9.66   ,9.95   ,7.26   ,8.79
200901  ,-3.35  ,-4.23  ,-4.13  ,-5.75  ,-7.62  ,-6.66
200902 ,-11.96 ,-13.54 ,-14.64 ,-15.10 ,-11.88 ,-10.48
200903   ,1.87   ,1.80   ,3.98   ,4.33   ,2.74  ,-1.14
200904   ,2.50   ,3.66   ,5.33   ,7.96   ,8.59   ,8.94
200905  ,10.73  ,13.55  ,14.03  ,11.28  ,10.81  ,10.34
200906   ,6.86   ,7.67   ,7.97   ,3.12   ,2.30   ,2.00
200907   ,1.77   ,2.65   ,4.31   ,1.32   ,3.94   ,5.84
200908   ,5.85   ,5.98   ,7.27   ,3.99   ,3.16   ,2.72
200909  ,-0.82   ,1.44   ,0.57  ,-4.17  ,-0.27  ,-0.11
200910  ,-3.49  ,-3.05  ,-1.10  ,-2.40  ,-3.06  ,-1.33
200911  ,-5.08  ,-5.00  ,-6.69  ,-0.95  ,-2.62  ,-1.05
200912  ,-2.81  ,-1.15  ,-0.72  ,-3.21   ,1.02   ,1.49
201001   ,2.61   ,2.88   ,3.47   ,2.79   ,3.91   ,0.87
201002   ,1.05   ,2.49   ,0.59   ,0.72   ,0.58   ,0.69
201003   ,3.54   ,6.08   ,5.79   ,4.23   ,4.88   ,5.04
201004   ,4.60   ,5.21   ,5.76  ,-0.03   ,0.40  ,-0.25
201005  ,-7.51  ,-7.22  ,-6.19  ,-8.18  ,-8.34  ,-7.61
201006   ,1.08   ,0.74  ,-0.34  ,-1.22  ,-0.69  ,-0.59
201007   ,1.38   ,1.61   ,1.47   ,2.70   ,4.27   ,2.37
201008  ,-3.86  ,-2.64  ,-3.28  ,-4.42  ,-2.88  ,-0.86
201009   ,3.42   ,4.51   ,3.98   ,3.66   ,7.45   ,3.06
